country,log_type,category,measure,comment,date
Liechtenstein,Introduction / extension of measures,Public health measures,Testing policy,Testing of employees working at institutions for elderly regularly ,2020-04-15
Liechtenstein,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,"Monitoring of waste water, as some evidence from the Netherlands showed that the coronavirus could be measured there and may help as case tracking tool potentially",2020-04-15
Liechtenstein,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Pilot research project started to identify whether elderly wrist bands may be used for the early detection of COVID-19,2020-04-15
Liechtenstein,Introduction / extension of measures,Social distancing,Limit public gatherings,The Liechtensteinische Landesbank (LLB) implemented - earlier than planned - their digital payment platform in light of corona,2020-04-16
Liechtenstein,Introduction / extension of measures,Public health measures,Other public health measures enforced,Promotion of safety rules for companies in connection with gradual reopening; swiss materials used,2020-04-23
Liechtenstein,Introduction / extension of measures,Public health measures,General recommendations,"Safety recommendations for elderly persons continue to apply, thus contact should generally be limited also to grandchildren",2020-04-22
Liechtenstein,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Relaxing of declaration regulations around food products and their ingredients lists, as some ingredients are not available anymore",2020-04-21
Liechtenstein,Phase-out measure,Social distancing,Schools closure,Pre-schools remain open for persons in critical jobs,2020-04-24
Liechtenstein,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Economic package for the cultural sector,2020-04-21
Liechtenstein,Phase-out measure,Social distancing,Limit public gatherings,Religious services are allowed again under strict hygiene measures,2020-05-15
Liechtenstein,Phase-out measure,Social distancing,Limit public gatherings,Restaurants and bars may open again under strict hygiene measures,2020-05-15
Liechtenstein,Phase-out measure,Social distancing,Limit public gatherings,"Sports centres and facilities, and fitness centres allowed to reopen under strict hygiene measures",2020-05-15
Liechtenstein,Phase-out measure,Social distancing,Limit public gatherings,"Museums, libraries, archives allowed to reopen under strict hygiene measures",2020-05-15
Liechtenstein,Introduction / extension of measures,Social distancing,Limit public gatherings,The national holiday celebration suspended,2020-04-24
Liechtenstein,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension until end of August: no gatherings or events of more than 100 persons,2020-05-15
Liechtenstein,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Extension of economic measures for May: the support for companies that were affected by the crises expanded to a lump sum of 5 000 CHF and also covers May, despite gradual reopening; also covering some additional persons prior left aside by the short-term aid package",2020-04-24
Liechtenstein,Introduction / extension of measures,Public health measures,Awareness campaigns,"About the reopening, doing sports responsibly",2020-04-30
Liechtenstein,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension (undefined end date): of gatherings of less than 100 persons continue to be banned,2020-04-30
Liechtenstein,Introduction / extension of measures,Social distancing,Limit public gatherings,Events are being banned,2020-03-19
Liechtenstein,Phase-out measure,Social distancing,Schools closure,Graduation exams are allowed to be held this year with strict hygiene measures,2020-05-05
Liechtenstein,Introduction / extension of measures,Public health measures,Awareness campaigns,Sensibilisation campaing #hebsorg with information materials designed for schools,2020-05-05
Liechtenstein,Introduction / extension of measures,Public health measures,General recommendations,To wear face masks in public transport,2020-05-05
Liechtenstein,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Adaptation of bankrupcy laws to ensure greater chance of business continuity rather than meaning the full closure of a company,2020-05-05
Lithuania,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"All travellers from the Italian regions of Veneto, Lombardy, Piedmont and Emilia-Romagna will still be checked onboard the plane, their contact details will be collected so that the operators of the National Health Center can contact them for the next two weeks and monitor their health.",2020-02-24
Lithuania,Introduction / extension of measures,Movement restrictions,Border closure,"Foreign nationals banned from entering the country; execeptions of freight, diplomatic persons, and their family members",2020-03-16
Lithuania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,In country travels limitations and 1 meter distance between people.,2020-03-16
Lithuania,Introduction / extension of measures,Movement restrictions,Border closure,Cruises can't enter ports.,2020-03-16
Lithuania,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"People returning from abroad should home-quaratine for 14 days, exception of drivers and alike",2020-03-16
Lithuania,Introduction / extension of measures,Social distancing,Changes in prison-related policies,"Visits, except for lawyers prohibited",2020-03-16
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,"Bars, restaurants, hotels and alike to be closed",2020-03-16
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,In-door and out-door events prohibited,2020-03-16
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Capacity freed and non-essential health services to be postponed,2020-03-16
Lithuania,Introduction / extension of measures,Social distancing,Public services closure,"Attending all inpatient social service establishments, foster families, group and community homes shall be prohibited.",2020-03-16
Lithuania,Introduction / extension of measures,Public health measures,General recommendations,The citizens of the Republic of Lithuania are adviced against leaving the country,2020-03-16
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,,2020-02-26
Lithuania,Introduction / extension of measures,Social distancing,Schools closure,For two weeks initially,2020-03-16
Lithuania,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"All people arriving at airport to be mandatory quarantined, some foreigners (e.g. transit) may be exempted; fines implemented and increased on 01.04.2020 to max 6000 EUR ",2020-03-24
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,"Supermarkets are required to implement cautionary measures, including disinfection of baskets and minimum distances",2020-03-24
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Purchasing of additional 2mio respirators and 6mio masks from China,2020-03-20
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,The Lithuanian government has decided to use 1.2 million euros from the state reserve for coronavirus prevention.,2020-12-03
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,Inside events for the Independence day canceled ,2020-11-03
Lithuania,Introduction / extension of measures,Movement restrictions,Border checks,Health monitoring of people arriving at borders or sea port; focus on obtaining information from people arriving from China,2020-01-27
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Economic plan, including loans, deferral of payments and taxes",2020-03-16
Lithuania,Introduction / extension of measures,Public health measures,Psychological assistance and medical social work,Hotline with professional mental health support established for both health professionals and the general public,2020-03-25
Lithuania,Introduction / extension of measures,Movement restrictions,International flights suspension,All passenger air and ferry travel suspended,2020-04-04
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,Hotels in three specific town banned from housing tourists to avoid spread,2020-03-31
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Allocation of 4.5 million euros to support the country's cultural workers,2020-01-04
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Vilnius Municipality will open two so-called fever clinics reserved for patients who are possibly infected with Covid-19,2020-03-31
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Coordination with 140 Lithuanian companies to produce the necessary medical and protective equipment against Covid-19,2020-01-04
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,The government is doubling the financial support to maintain business liquidity from 500 million to more than 1 billion euros.,2020-03-30
Lithuania,Introduction / extension of measures,Public health measures,Testing policy,"Of people with symptoms: Immediate testing of risk group (elderly of 60+, chronic diseases) and not at-risk group tested based on GP referral; entire health workforce will be tested",2020-03-27
Lithuania,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,"At international border crossing points, everyone will be screened by the National Public Health Center for symptoms of coronavirus infection.",2020-02-04
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Limit product imports/exports,"Export to third countries of personal protective equipment, such as goggles, shields and masks, as well as protective clothing, disposable gloves will be prohibited because of the growing demand in the country.",2020-02-04
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,"Small creational boats continue to be allowed, though at a max of 2 persons except for immediate family members",2020-02-04
Lithuania,Introduction / extension of measures,Movement restrictions,Border closure,Lithuania closes border to cars from Russia and Belarus (exemptions on freight),2020-03-04
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Lithuania borrows €1.5bn + €2bn to stimulate economy,2020-06-04
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,New law allows Lithuanian government to regulate prices,2020-08-04
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Payrise for medical health professionals decided,2020-08-04
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension: of non-essential customer businesses ban until 27th April,2020-08-04
Lithuania,Introduction / extension of measures,Social distancing,Schools closure,Extension: school closure until 27th April,2020-08-04
Lithuania,Phase-out measure,Movement restrictions,Border closure,"Immediate family members are now allowed to enter the country (before only permanent residents, diplomats and freight was allowed)",2020-08-04
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"The government decided to allow selling plants, seeds and fertilizers in open-air markets.",2020-08-04
Lithuania,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,Previously recommendation now mandatory to wear face mask; fines of up to 1000 EUR for individuals,2020-08-04
Lithuania,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,App launched to monitor self-isolation and check symptoms + give advice,2020-07-04
Lithuania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,People’s travel to cities and towns outside the municipality of their residence will be restricted for Eastern from 10 April 8:00 p.m. until 13 April 8:00 p.m.,2020-08-04
Lithuania,Introduction / extension of measures,Public health measures,Testing policy, Vilnius city decided to test all health care professionals ,2020-09-04
Lithuania,Introduction / extension of measures,Public health measures,Awareness campaigns,ViLTė implemented -  an automated conversation robot providing official COVID-19-related information,2020-04-17
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Stores, apart from food stores, allowed to reopen, if they have a separate direct entrance from the outside and are able to regulate the flow of customers and other visitors; Operation of non-food stores in entertainment centres and supermarkets remains prohibited. ",2020-04-15
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Stationary service provision settings (supermarkets), such as cleaning services, key making, repair services, etc. generally allowed to reopen, even if they don't have separate entrance and can control flow of persons; however maximum contact with customers set at 20 minutes (thus beauty salons and sports clubs remains prohibited)",2020-04-15
Lithuania,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"Movement into and out of the town suspended, as it is a corona hotspot; travel in the town by car is not restricted",2020-04-15
Lithuania,Introduction / extension of measures,Public health measures,Mass population testing,All residents of the town are being tested,2020-04-16
Lithuania,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Direct support to self-employed persons, with a monthly grant of 257 euros",2020-05-04
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension: major public events to be continued to be banned without date of opening set yet,2020-04-15
Lithuania,Introduction / extension of measures,Movement restrictions,Border checks,Extended until 14th May,2020-04-24
Lithuania,Introduction / extension of measures,Movement restrictions,Border closure,Extended until 14th May,2020-04-24
Lithuania,Introduction / extension of measures,Social distancing,Limit public gatherings,"Catholic churches in Lithuania will resume public services, except on Sundays",2020-04-27
Lithuania,Phase-out measure,Movement restrictions,Domestic travel restrictions,Sealed off town is reopened,2020-04-24
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Outdoor cafes, restaurants and bars will be allowed to reopen",2020-04-27
Lithuania,Introduction / extension of measures,Social distancing,Public services closure,Driving and aviation exams will also be able to take place ,2020-04-27
Lithuania,Phase-out measure,Public health measures,Testing policy,"Suspension of efforts to test all health professionals every 7 days, due to not being feasible and including persons with little exposure and risk; only health professionals at risk tested",2020-04-24
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Sports and enternainment facilities to reopen, as long as they can ensure 10 square metres per client, or 10-metre distance between people",2020-04-27
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Museums and libraries to reopen, as long as they can ensure 10 square metres per client, or serve only one person at a time.; Also reopening of parks, zoos, observational platforms, as long as there’s a two-metre distance between people.",2020-04-27
Lithuania,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,Extension until 11th May: mandatory face mask wearing in all public spaces,2020-04-22
Lithuania,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,"Extension: requirement to wear face masks in public (though children under 6 now exempted), previous exemptions remain in place (during eating or drinking or sports)",2020-04-05
Lithuania,Phase-out measure,Movement restrictions,Border closure,Lithuanian citizens are not banned anymore from leaving the country,2020-04-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,Service providers will be able to provide services both indoor and outdoor longer than 20 minutes on the condition that flow of visitors is limited,2020-04-30
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Various outdoor leisure activities are again allowed as long as they take place in open air and in groups of no more than two or in families, while avoiding gatherings of people, e.g. training of dogs, making photographs in open spaces, riding, orienteering  sports",2020-04-30
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,Training for Olpymic and Paralymic athletes allowed,2020-04-30
Lithuania,Phase-out measure,Public health measures,Strengthening the public health system,"Healthcare providers may gradually uptake their normal processes, they are required to produce a plan for a phased resumption and provision of inpatient and outpatient health care services.",2020-04-30
Lithuania,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Drones are being used to monitor people's movement and compliance with quarantine rules,2020-04-30
Lithuania,Introduction / extension of measures,Movement restrictions,Checkpoints within the country,Checkpoints installed to ensure compliance with quarantine measures during extended weekend,2020-04-30
Lithuania,Phase-out measure,Movement restrictions,International flights suspension,The Lithuanian government has allowed regular Vilnius-Frankfurt flights to resume; other flights to be added gradually,2020-10-05
Lithuania,Introduction / extension of measures,Public health measures,Strengthening the public health system,Government agreed for Lithuania to host a new regional strategic stockpile for medicines,2020-04-30
Lithuania,Phase-out measure,Movement restrictions,Border closure,Baltic states agreed to open internal borders between the three countries,2020-05-15
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Additional outdoor activites are allowed, e.g. boating with more than two people",2020-07-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"Driving lessons and examinations in cars and other vehicles; Foreign language examination is allowed for students who need language proficiency certificates for university applications, under hygiene restrictions",2020-11-05
Lithuania,Phase-out measure,Social distancing,Schools closure,Kindergartens and other pre-school education establishments are allowed to reopen.,2020-11-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,Outdoor events of under 30 people. Organisers must ensure 2-metre distances between people and 10-square-metre space per participant.,2020-11-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,Private gym training in groups of no more than 10 people; Professional athlete training in indoor facilities with 2-metre distance requirement.,2020-11-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,"All beauty services, including tattoo and piercing parlors, tanning salons.",2020-11-05
Lithuania,Phase-out measure,Public health measures,Strengthening the public health system,All dental services are allowed to be uptaken again,2020-11-05
Lithuania,Phase-out measure,Public health measures,Strengthening the public health system,Hospital visits with doctor's permission. Partners are allowed to be present during childbirth.,2020-11-05
Lithuania,Phase-out measure,Social distancing,Limit public gatherings,Indoor events of under 30 people. Organisers must ensure a space of 10 square metres per person and at least 2-metre distances between people.,2020-05-31
Lithuania,Phase-out measure,Public health measures,Isolation and quarantine policies,Citizens from the neighbouring Baltic states and Poland do not need to undergo 14 day quarantine upon arrival anymore,2020-05-15
Lithuania,Phase-out measure,Movement restrictions,Border closure,People are allowed to enter Lithuania for work or education from within EU (though still with 14 day quarantine applying),2020-11-05
Luxembourg,Introduction / extension of measures,Lockdown,Partial lockdown,traffic is limited to essential trips only ,2020-03-16
Luxembourg,Introduction / extension of measures,Social distancing,Schools closure,closure of all education facilities for 2 weeks starting 16 March,2020-03-16
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,"closure of public facilities such as bars, restaurants, public baths",2020-03-16
Luxembourg,Introduction / extension of measures,Public health measures,Awareness campaigns,General awareness and general hygiene recommendations,2020-02-29
Luxembourg,Introduction / extension of measures,Public health measures,Awareness campaigns,Health information hotline implemented,2020-03-24
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,,2020-03-18
Luxembourg,Introduction / extension of measures,Lockdown,Partial lockdown,"Leaving is allowed for essentials, to get fresh air and work (if home office is not applicable)",2020-03-17
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Deferral of tax payments, reimbursement of VAT credit balances, liquidity measures",2020-03-17
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,Visits to hospitals forbidden (with exceptions),2020-03-13
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,Events in confined spaces with more than 100 people are prohibited and events in non-confined spaces with more than 500 people are prohibited,2020-03-13
Luxembourg,Introduction / extension of measures,Public health measures,General recommendations,Vulnerable people adviced to avoid crowds and adapt their behaviour to be less at-risk (e.g. people with existing conditions),2020-03-13
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,Establishment of separate COVID centers to avoid transmission in health settings,2020-03-18
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Crisis unit established,2020-11-03
Luxembourg,Introduction / extension of measures,Public health measures,Other public health measures enforced,For vulnerable groups and online shop for essentials with home delivery was set up,2020-03-19
Luxembourg,Introduction / extension of measures,Social distancing,Public services closure,Stopping of long-distance train services to Paris with the TGV,2020-03-20
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Through online platform volunteers are being recruited and all health professionals are mandated to register that do not already work (e.g. retired, students, ...)",2020-03-23
Luxembourg,Introduction / extension of measures,Public health measures,Psychological assistance and medical social work,Psychological help-hotline implemented,2020-01-04
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Four additional ""advanced care centres"" were opened with a triage system for people with and without symptoms of Covid-19",2020-03-26
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Alternatives established to traditional doctor visit for non-Covid-19 patients, particularly the elderly, with home-visits of GPs and telemedicine options",2020-03-30
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Simplification of short-term work application for employers to sustain employee base,2020-03-27
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Abolition of the 2020 subscription on main online shop in Luxembourg to support SMEs,2020-03-30
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Family-related leave has been extended to provide a solution for parents who are unable to provide care for their dependent child until the age of 12, respectively until at the age of 18 completed for a child with a disability, by other means.",2020-03-30
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,"Contribution of € 800,000 to the Coalition for Epidemic Preparedness Innovations (CEPI )",2020-03-27
Luxembourg,Introduction / extension of measures,Public health measures,General recommendations,"Call to respect ""social distancing"" in shops open to the public, e.g. minimum 2m distance, one shopping trolley per person ",2020-01-04
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,"The technical inspection of cars continues, though are limited to the essential services and with the implementation of hygiene measures",2020-03-17
Luxembourg,Introduction / extension of measures,Social distancing,Public services closure,RGTR traffic will be suspended every Sunday until further notice; the regular lines run according to the school holidays schedule during the other days of the week; suspension of a number of public busses in the cities,2020-03-22
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,"The deadlines within the legal system, which would require presence of a person, are being suspended across legal areas",2020-03-26
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension of time limits for submitting reports to the Environmental Authorities,2020-03-27
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Government and union agreement on the conditions of part-time work,2020-03-27
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Increase in rent subsidy and protection of tenants,2020-03-27
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Support for employees to take holiday if they need to care for person at home (e.g. elderly, person with disability)",2020-03-04
Luxembourg,Introduction / extension of measures,Social distancing,Schools closure,Extension of measure: school closure extended until 3rd March,2020-02-04
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Foreigners living abroad in Germany but working in Luxembourg are not going to be disadvantaged, if they decide to work from home (as might have been the case previously)",2020-02-04
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,Government supports companies producing PPEs with 100% of investment costs,2020-04-04
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Establishment of an aid scheme for independent professional artists and intermittent performers,2020-04-04
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Ministry of the Economy is strengthening support for businesses with a capital grant in the form of a repayable advance which aims to meet the needs of corporate liquidity.,2020-03-04
Luxembourg,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Increased police presence during Easter weekend to ensure compliance,2020-10-04
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,2.500 Euro for self-employed persons,2020-08-04
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,Disease transmission study in 1500 persons ,2020-08-04
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,"The government provided additional funds for the healthcare system, including to create advanced health centers and cover accommodation expenses in Luxembourg for eligible cross-border health-care workers. ",2020-04-16
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,www.EPI-Covid19.lu: internet platform established to improvement coordination between supply and demand of PPEs,2020-04-18
Luxembourg,Phase-out measure,Movement restrictions,Border closure,Two specific border crossings to Germany have re-opened,2020-04-17
Luxembourg,Introduction / extension of measures,Public health measures,Other public health measures enforced,Distribution of face masks to the general population through municipalities network,2020-04-15
Luxembourg,Phase-out measure,Social distancing,Public services closure,Recycling parks and the green waste collection points will be operational again;  The same is true for mobile collections and door-to-door collections ,2020-04-20
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Military set up mask distribution centre for companies,2020-04-17
Luxembourg,Introduction / extension of measures,Public health measures,Other public health measures enforced,Masks to be used by all travelers on public transport; also only allowed to enter from rear doors,2020-04-20
Luxembourg,Introduction / extension of measures,Public health measures,Requirement to wear protective gear in public,Public transport staff needs to wear mask,2020-04-20
Luxembourg,Phase-out measure,Social distancing,Schools closure,Those in the final school year to retain schooling; under a number of hygiene restrictions,2020-04-05
Luxembourg,Phase-out measure,Social distancing,Schools closure,All secondary school classes resumed again; under a number of hygiene restrictions,2020-11-05
Luxembourg,Phase-out measure,Social distancing,Schools closure,Primary schools and Kindergartens resumed; under a number of hygiene restrictions,2020-05-25
Luxembourg,Phase-out measure,Social distancing,Schools closure,Music schools resumed,2020-11-05
Luxembourg,Phase-out measure,Social distancing,Limit public gatherings,Resumption of construction sites; stores mainly around DIYs; Activities of gardeners and landscapers,2020-04-20
Luxembourg,Phase-out measure,Social distancing,Schools closure,Aid and assistance activities in education ,2020-04-20
Luxembourg,Introduction / extension of measures,Public health measures,General recommendations,Extension: Companies generally encouraged to continue with telework,2020-04-15
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,Extension until 31st July: gatherings continue to be banend ,2020-04-15
Luxembourg,Phase-out measure,Public health measures,Amendments to funeral and burial regulations,Gathering of up to 20 persons during funerals (as well as during civil weddings) allowed again; if respecting 2 m distance,2020-04-15
Luxembourg,Introduction / extension of measures,Public health measures,Amendments to funeral and burial regulations,Only closest family members are allowed to attend funerals,2020-03-25
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,Communes freeze commercial rents during crisis,2020-03-24
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"Companies employing between 10 and 20 people will thus be able to benefit from a single indemnity, which amounts to a lump sum of 12,500 euros; 5,000 euros is also granted to companies of less than 10 people under certain conditions (e.g. minimum loss of 50%)",2020-04-22
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,The Luxembourg State has issued a 2.5 billion EUR loan to deal with COVID-19,2020-04-22
Luxembourg,Introduction / extension of measures,Public health measures,Other public health measures enforced,"Distribution of masks to embassies and institutions headquartered in Luxembourg, with support of the army",2020-04-21
Luxembourg,Introduction / extension of measures,Public health measures,Testing policy,Students and teachers are also systematically tested,2020-02-05
Luxembourg,Introduction / extension of measures,Public health measures,Testing policy,Testing approach in connection with gradual reopening is the based on a cluster testing approach with recurring samples,2020-02-05
Luxembourg,Phase-out measure,Social distancing,Public services closure,Construction and renovation efforts of public transport network taken up again,2020-04-28
Luxembourg,Introduction / extension of measures,Public health measures,Strengthening the public health system,Call for research by national research fond Luxembourg (FNR),2020-04-28
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,2020 Stability and Growth Program with the macroeconomic outlooks of the country published,2020-04-29
Luxembourg,Phase-out measure,Social distancing,Public services closure,Public service capacity further increased,2020-04-05
Luxembourg,Introduction / extension of measures,Social distancing,Public services closure,Extension until 17th May: of the precautionary measures for all applicable technical inspection bodies due to the COVID-19 virus,2020-04-28
Luxembourg,Introduction / extension of measures,Public health measures,Testing policy,"In the next weeks, elderly homes will be increasingly part of testing efforts, including residents and care takers",2020-04-22
Luxembourg,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,Visits to elderly homes limited,2020-03-13
Luxembourg,Introduction / extension of measures,Social distancing,Limit public gatherings,Marriages may be celebrated in a municipal building other than the town hall. Civil partnership declarations can take place at the same locations.,2020-05-05
Luxembourg,Introduction / extension of measures,Governance and socio-economic measures,Economic measures,"New non-reimbursable allowance for the self-employed, at 3000-5000 EUR",2020-06-05
Luxembourg,Phase-out measure,Social distancing,Limit public gatherings,Full opening of shops (with the exceptions listed exhaustively),2020-11-05
Luxembourg,Phase-out measure,Social distancing,Limit public gatherings,The organization of private events at home with a maximum of six guests in addition to people already living in the same household,2020-11-05
Luxembourg,Phase-out measure,Social distancing,Public services closure,The opening of archives and libraries,2020-11-05
Luxembourg,Phase-out measure,Social distancing,Limit public gatherings,"Luxembourg's elite athletes resume training at the National Sports and Cultural Center ""d'Coque""",2020-04-05
Madagascar,Introduction / extension of measures,Movement restrictions,International flights suspension,"Fligts from China, Italy, South Korea, or Iran",2020-10-03
Madagascar,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,International passengers with symptoms,2020-10-03
Madagascar,Introduction / extension of measures,Movement restrictions,International flights suspension,Flights to Europe for 30 days (La Réunion and Mayotte included),2020-03-19
Madagascar,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,Every person coming from Europe before 19.03 is quarantined.,2020-03-19
Madagascar,Introduction / extension of measures,Movement restrictions,Visa restrictions,"Everyone from Europe, La Réunion, Mayotte, China, South Korea and Iran cannot enter the country.",2020-03-20
Madagascar,Introduction / extension of measures,Movement restrictions,International flights suspension,All international and regional flights suspended for a period of 30 days,2020-03-21
Madagascar,Introduction / extension of measures,Movement restrictions,Border closure,Cruise ships not be permitted to berth in Madagascar’s ports for 30 days. ,2020-03-15
Madagascar,Introduction / extension of measures,Movement restrictions,Curfews,A curfew is in place from 20:00 to 05:00.,2020-03-23
Madagascar,Introduction / extension of measures,Governance and socio-economic measures,State of emergency declared,"National ""Health State of Emergency""",2020-03-21
Madagascar,Introduction / extension of measures,Social distancing,Schools closure,"Closure of all schools and universities. Set to last two weeks, but extendable.",2020-03-21
Madagascar,Introduction / extension of measures,Social distancing,Public services closure,"Closure of administrative offices for 2 weeks, but can be extended. All public services are closed except for health workers, the judiciary, public security, municipal sanitation and roadworks, JIRAMA, telecommunications and the media.",2020-03-23
Madagascar,Introduction / extension of measures,Social distancing,Limit public gatherings,"Churches, event spaces, bars and restaurants are closed for 2 weeks. Measure extendable.",2020-03-21
Madagascar,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings, Sanitary checks have been established at exit points from Antananarivo and other major cities.,2020-03-21
Madagascar,Introduction / extension of measures,Public health measures,Isolation and quarantine policies,"All travellers entering the country must self quarantine in Tananarive. If they do not have a place to stay there, they will have to quarantine in a dedicated public building.",2020-03-21
Madagascar,Introduction / extension of measures,Social distancing,Limit public gatherings,Only one person per household may do the shopping.,2020-03-23
Madagascar,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,"All public transportation, urban, suburban and national, is suspended.",2020-03-23
Madagascar,Introduction / extension of measures,Movement restrictions,International flights suspension,Internal flights are suspended until further notice.,2020-03-25
Madagascar,Introduction / extension of measures,Lockdown,Partial lockdown,"Strict confinement measures are in place, only those with valid authorization are allowed to move around outside.  Only one person per family is allowed to go to the store at a time.",2020-03-28
